key,en,ko
global_indicators:2-2-2-title,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",
global_indicators:2-2-3-title,"Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",
global_indicators:2-3-1-title,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,
global_indicators:2-3-2-title,"Average income of small-scale food producers, by sex and indigenous status",
global_indicators:2-4-1-title,Proportion of agricultural area under productive and sustainable agriculture,
global_indicators:2-5-1-title,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,
global_indicators:2-5-2-title,Proportion of local breeds classified as being at risk of extinction,
global_indicators:2-a-1-title,The agriculture orientation index for government expenditures,
global_indicators:2-a-2-title,Total official flows (official development assistance plus other official flows) to the agriculture sector,
global_indicators:2-b-1-title,Agricultural export subsidies,
global_indicators:2-c-1-title,Indicator of food price anomalies,
global_indicators:3-1-1-title,Maternal mortality ratio,
global_indicators:3-1-2-title,Proportion of births attended by skilled health personnel,
global_indicators:3-2-1-title,Under‐5 mortality rate,
global_indicators:3-2-2-title,Neonatal mortality rate,
global_indicators:3-3-1-title,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",
global_indicators:3-3-2-title,"Tuberculosis incidence per 100,000 population",
global_indicators:3-3-3-title,"Malaria incidence per 1,000 population",
global_indicators:3-3-4-title,"Hepatitis B incidence per 100,000 population",
global_indicators:3-3-5-title,Number of people requiring interventions against neglected tropical diseases,
global_indicators:3-4-1-title,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",
global_indicators:3-4-2-title,Suicide mortality rate,
global_indicators:3-5-1-title,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",
global_indicators:3-5-2-title,Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,
global_indicators:3-6-1-title,Death rate due to road traffic injuries,
global_indicators:3-7-1-title,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,
global_indicators:3-7-2-title,"Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group",
global_indicators:3-8-1-title,Coverage of essential health services,
global_indicators:3-8-2-title,Proportion of population with large household expenditures on health as a share of total household expenditure or income,
global_indicators:3-9-1-title,Mortality rate attributed to household and ambient air pollution,
global_indicators:3-9-2-title,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",
global_indicators:3-9-3-title,Mortality rate attributed to unintentional poisoning,
global_indicators:3-a-1-title,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,
global_indicators:3-b-1-title,Proportion of the target population covered by all vaccines included in their national programme,
global_indicators:3-b-2-title,Total net official development assistance to medical research and basic health sectors,
global_indicators:3-b-3-title,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,
global_indicators:3-c-1-title,Health worker density and distribution,
global_indicators:3-d-1-title,International Health Regulations (IHR) capacity and health emergency preparedness,
global_indicators:3-d-2-title,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,
global_indicators:4-1-1-title,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",
global_indicators:4-1-2-title,"Completion rate (primary education, lower secondary education, upper secondary education)",
global_indicators:4-2-1-title,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",
global_indicators:4-2-2-title,"Participation rate in organized learning (one year before the official primary entry age), by sex",
global_indicators:4-3-1-title,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",
global_indicators:4-4-1-title,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",
global_indicators:4-5-1-title,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
global_indicators:4-6-1-title,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",
global_indicators:4-7-1-title,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,
global_indicators:4-a-1-title,"Proportion of schools offering basic services, by type of service",
global_indicators:4-b-1-title,Volume of official development assistance flows for scholarships by sector and type of study,
global_indicators:4-c-1-title,"Proportion of teachers with the minimum required qualifications, by education level",
global_indicators:5-1-1-title,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",
global_indicators:5-2-1-title,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",
global_indicators:5-2-2-title,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",
global_indicators:5-3-1-title,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,
global_indicators:5-3-2-title,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",
global_indicators:5-4-1-title,"Proportion of time spent on unpaid domestic and care work, by sex, age and location",
global_indicators:5-5-1-title,Proportion of seats held by women in (a) national parliaments and (b) local governments,
global_indicators:5-5-2-title,Proportion of women in managerial positions,
global_indicators:5-6-1-title,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",
global_indicators:5-6-2-title,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",
global_indicators:5-a-1-title,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",
global_indicators:5-a-2-title,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,
global_indicators:5-b-1-title,"Proportion of individuals who own a mobile telephone, by sex",
global_indicators:5-c-1-title,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,
global_indicators:6-1-1-title,Proportion of population using safely managed drinking water services,
global_indicators:6-2-1-title,Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,
global_indicators:6-3-1-title,Proportion of domestic and industrial wastewater flows safely treated,
global_indicators:6-3-2-title,Proportion of bodies of water with good ambient water quality,
global_indicators:6-4-1-title,Change in water-use efficiency over time,
global_indicators:6-4-2-title,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,
global_indicators:6-5-1-title,Degree of integrated water resources management,
global_indicators:6-5-2-title,Proportion of transboundary basin area with an operational arrangement for water cooperation,
global_indicators:6-6-1-title,Change in the extent of water-related ecosystems over time,
global_indicators:6-a-1-title,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,
global_indicators:6-b-1-title,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,
global_indicators:7-1-1-title,Proportion of population with access to electricity,
global_indicators:7-1-2-title,Proportion of population with primary reliance on clean fuels and technology,
global_indicators:7-2-1-title,Renewable energy share in the total final energy consumption,
global_indicators:7-3-1-title,Energy intensity measured in terms of primary energy and GDP,
global_indicators:7-a-1-title,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",
global_indicators:7-b-1-title,Installed renewable energy-generating capacity in developing countries (in watts per capita),
global_indicators:8-1-1-title,Annual growth rate of real GDP per capita,
global_indicators:8-10-1-title,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",
global_indicators:8-10-2-title,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,
global_indicators:8-2-1-title,Annual growth rate of real GDP per employed person,
